YEAR,Obesity_prevalence,Total_Population,Adult_pop_ratio,Adult_pop,Adult_obese_pop,GLP1_adoption_medical,GLP1_adoption_lifestyle,GLP1_adoption_universal,Obesity_medical,Obesity_lifestyle,Obesity_universal,Cases_avoided_medical,Cases_avoided_lifestyle,Cases_avoided_universal,Sources
1990,18.52,249623000,0.775,193457825.0,35828389.19,0.0,0.0,0.0,18.52,18.52,18.52,0.0,0.0,0.0,"Obesity (%) (w/o GLP1),https://www.who.int/data/gho"
1991,19.35,252981000,0.775,196060275.0,37937663.21,0.0,0.0,0.0,19.35,19.35,19.35,0.0,0.0,0.0,"TOTAL_POP,https://www.worldometers.info/world-population/us-population/"
1992,20.2,256514000,0.775,198798350.0,40157266.7,0.0,0.0,0.0,20.2,20.2,20.2,0.0,0.0,0.0,"Projected Pop,https://www.census.gov/data/datasets/2023/demo/popproj/2023-popproj.html"
1993,21.08,259919000,0.775,201437225.0,42462967.03,0.0,0.0,0.0,21.08,21.08,21.08,0.0,0.0,0.0,
1994,21.99,263126000,0.775,203922650.0,44842590.74,0.0,0.0,0.0,21.99,21.99,21.99,0.0,0.0,0.0,
1995,22.93,266278000,0.775,206365450.0,47319597.69,0.0,0.0,0.0,22.93,22.93,22.93,0.0,0.0,0.0,
1996,23.9,269394000,0.775,208780350.0,49898503.65,0.0,0.0,0.0,23.9,23.9,23.9,0.0,0.0,0.0,
1997,24.89,272657000,0.775,211309175.0,52594853.66,0.0,0.0,0.0,24.89,24.89,24.89,0.0,0.0,0.0,
1998,25.89,275854000,0.775,213786850.0,55349415.47,0.0,0.0,0.0,25.89,25.89,25.89,0.0,0.0,0.0,
1999,26.89,279040000,0.775,216256000.0,58151238.4,0.0,0.0,0.0,26.89,26.89,26.89,0.0,0.0,0.0,
2000,27.91,282162411,0.775,218675868.5,61032434.91,0.0,0.0,0.0,27.91,27.91,27.91,0.0,0.0,0.0,
2001,28.91,284968955,0.775,220850940.1,63848006.79,0.0,0.0,0.0,28.91,28.91,28.91,0.0,0.0,0.0,
2002,29.91,287625193,0.775,222909524.6,66672238.8,0.0,0.0,0.0,29.91,29.91,29.91,0.0,0.0,0.0,
2003,30.87,290107933,0.775,224833648.1,69406147.16,0.0,0.0,0.0,30.87,30.87,30.87,0.0,0.0,0.0,
2004,31.81,292805298,0.775,226924106.0,72184558.1,0.0,0.0,0.0,31.81,31.81,31.81,0.0,0.0,0.0,
2005,32.7,295516599,0.775,229025364.2,74891294.1,0.0,0.0,0.0,32.7,32.7,32.7,0.0,0.0,0.0,
2006,33.56,298379912,0.775,231244431.8,77605631.31,0.0,0.0,0.0,33.56,33.56,33.56,0.0,0.0,0.0,
2007,34.36,301231207,0.775,233454185.4,80214858.11,0.0,0.0,0.0,34.36,34.36,34.36,0.0,0.0,0.0,
2008,35.12,304093966,0.775,235672823.7,82768295.67,0.0,0.0,0.0,35.12,35.12,35.12,0.0,0.0,0.0,
2009,35.82,306771529,0.775,237747935.0,85161310.31,0.0,0.0,0.0,35.82,35.82,35.82,0.0,0.0,0.0,
2010,36.46,309327143,0.775,239728535.8,87405024.16,0.0,0.0,0.0,36.46,36.46,36.46,0.0,0.0,0.0,
2011,37.04,311583481,0.775,241477197.8,89443154.06,0.0,0.0,0.0,37.04,37.04,37.04,0.0,0.0,0.0,
2012,37.58,313877662,0.775,243255188.1,91415299.67,0.0,0.0,0.0,37.58,37.58,37.58,0.0,0.0,0.0,
2013,38.1,316059947,0.775,244946458.9,93324600.85,0.0,0.0,0.0,38.1,38.1,38.1,0.0,0.0,0.0,
2014,38.63,318386329,0.775,246749405.0,95319295.14,0.0,0.0,0.0,38.63,38.63,38.63,0.0,0.0,0.0,
2015,39.17,320738994,0.775,248572720.4,97365934.56,0.0,0.0,0.0,39.17,39.17,39.17,0.0,0.0,0.0,
2016,39.71,323071755,0.775,250380610.1,99426140.28,0.0,0.0,0.0,39.71,39.71,39.71,0.0,0.0,0.0,
2017,40.25,325122128,0.775,251969649.2,101417783.8,0.0,0.0,0.0,40.25,40.25,40.25,0.0,0.0,0.0,
2018,40.78,326838199,0.775,253299604.2,103295578.6,0.0,0.0,0.0,40.78,40.78,40.78,0.0,0.0,0.0,
2019,41.31,328329953,0.775,254455713.6,105115655.3,0.0,0.0,0.0,41.31,41.31,41.31,0.0,0.0,0.0,
2020,41.84,331526933,0.775,256933373.1,107500923.3,0.0,0.0,0.0,41.84,41.84,41.84,0.0,0.0,0.0,
2021,42.36,332048977,0.775,257337957.2,109008358.7,0.0,0.0,0.0,42.36,42.36,42.36,0.0,0.0,0.0,
2022,42.87,333271411,0.775,258285343.5,110726926.8,0.0,0.0,0.0,42.87,42.87,42.87,0.0,0.0,0.0,
2023,42.85,334914895,0.775,259559043.6,111221050.2,0.00019780985253078196,0.0007417869469904323,0.001730836209644342,42.847626677389336,42.841100040210016,42.82923342715669,6160.173469786431,23100.650511671454,53901.51786060361,
2024,43.16,341814420,0.775,264906175.5,114333505.3,0.0005354280739427884,0.0020078552772854565,0.0046849956469993985,43.15352945881201,43.13573547054506,43.103382764605136,17140.863195248803,64278.236982150076,149982.55295835645,
2025,43.45,343603404,0.775,266292638.1,115704151.3,0.0014388967969673247,0.005395862988627468,0.012590346973464091,43.4324943815681,43.38435393088036,43.296825838720835,46616.17313803882,174810.64926765033,407891.5149578444,
2026,43.73,339513045,0.775,263122609.9,115063517.3,0.0037940698542053425,0.014227761953270034,0.03319811122429674,43.683543891077164,43.55578959153938,43.32350904692522,122236.52625574387,458386.9734590255,1069569.604737745,
2027,43.98,340970496,0.775,264252134.4,116218088.7,0.009536233761769404,0.03576087660663527,0.08344204541548228,43.86256700296406,43.539626261115245,42.95246127593558,310319.2011573438,1163697.004340039,2715293.0101267393,
2028,44.22,342384777,0.775,265348202.2,117336975.0,0.02151531370959961,0.08068242641099854,0.1882589949589966,43.953605991773216,43.221022469149574,41.88905242801568,706871.7115982883,2650768.9184935526,6185127.476484938,
2029,44.43,343753791,0.775,266409188.0,118365602.2,0.04,0.15,0.35,43.932384,42.563939999999995,40.07586,1325694.744958082,4971355.293592812,11599829.018383203,
2030,44.64,345073565,0.775,267432012.9,119381650.5,0.05848468629040039,0.21931757358900145,0.5117410050410034,43.90898820911903,41.89870578419635,38.243646829791494,1954959.546889317,7331098.300834968,17105896.035281572,
2031,44.83,346339264,0.775,268412929.6,120329516.3,0.07046376623823059,0.2642391233933647,0.6165579545845176,43.94551062067123,41.51316482751712,37.0907179308733,2374083.8550572074,8902814.456464497,20773233.73175046,
2032,45.0,347545098,0.775,269347451.0,121206352.9,0.07620593014579467,0.28577223804672996,0.6668018887757032,44.03980528016299,41.3992698006112,36.59829620142614,2586260.0025175847,9698475.009440947,22629775.022028875,
2033,45.16,348701812,0.775,270243904.3,122042147.2,0.07856110320303267,0.2946041370113725,0.6874096530265359,44.16661056221829,41.434789608318596,36.467842419410054,2684574.4015651075,10067154.00586914,23490026.01369468,
2034,45.31,349807647,0.775,271100926.4,122835829.8,0.07946457192605721,0.29799214472271457,0.6953150043530006,44.3018488688885,41.52943325833187,36.48867760277435,2733107.055955365,10249151.4598326,23914686.739609424,
2035,45.45,350861084,0.775,271917340.1,123586431.1,0.07980219014746923,0.2992582130530096,0.6982691637903556,44.434437328183314,41.6416399806874,36.56382662160394,2761491.004252432,10355591.265946675,24163046.287208892,
