data_type,parameter,value
historical_demand,2019,0.9
historical_demand,2020,0.8
historical_demand,2021,1.3
historical_demand,2022,2
historical_demand,2023,3.3
historical_demand,2024,4
capacity_actual,2024,117.26
capacity_target,2030,260.25
baseline_year,,2024
projection_end_year,,2030
demand_baseline_pct,,4
capacity_baseline_billions,,117.26
max_penetration_pct,,25
demand_cagr_conservative,,0.25
demand_cagr_base,,0.35
demand_cagr_aggressive,,0.45
capacity_cagr_conservative,,0.12
capacity_cagr_base,,0.14
capacity_cagr_aggressive,,0.16
