scenario,year,years_elapsed,demand_cagr,capacity_cagr,projected_demand_pct,constrained_demand_pct,demand_index,projected_capacity_billions,capacity_index,gap_ratio,gap_severity,cagr_differential
conservative,2024,0,0.25,0.12,4.0,4.0,100.0,117.26,100.0,1.0,Balanced (<1.5x),0.13
conservative,2025,1,0.25,0.12,5.0,5.0,125.0,131.33120000000002,112.00000000000001,1.1160714285714284,Balanced (<1.5x),0.13
conservative,2026,2,0.25,0.12,6.25,6.25,156.25,147.09094400000004,125.44000000000001,1.2456154336734693,Balanced (<1.5x),0.13
conservative,2027,3,0.25,0.12,7.8125,7.8125,195.3125,164.74185728000006,140.49280000000005,1.390195796510568,Balanced (<1.5x),0.13
conservative,2028,4,0.25,0.12,9.765625,9.765625,244.140625,184.51088015360008,157.35193600000005,1.5515578086055446,Watch (1.5x-2x),0.13
conservative,2029,5,0.25,0.12,12.20703125,12.20703125,305.17578125,206.65218577203208,176.23416832000007,1.7316493399615454,Watch (1.5x-2x),0.13
conservative,2030,6,0.25,0.12,15.2587890625,15.2587890625,381.4697265625,231.45044806467598,197.3822685184001,1.932644352635653,Watch (1.5x-2x),0.13
base,2024,0,0.35,0.14,4.0,4.0,100.0,117.26,100.0,1.0,Balanced (<1.5x),0.20999999999999996
base,2025,1,0.35,0.14,5.4,5.4,135.0,133.67640000000003,114.00000000000001,1.1842105263157894,Balanced (<1.5x),0.20999999999999996
base,2026,2,0.35,0.14,7.290000000000001,7.290000000000001,182.25000000000003,152.39109600000003,129.96000000000004,1.402354570637119,Balanced (<1.5x),0.20999999999999996
base,2027,3,0.35,0.14,9.841500000000002,9.841500000000002,246.03750000000005,173.72584944000005,148.15440000000004,1.6606830441755358,Watch (1.5x-2x),0.20999999999999996
base,2028,4,0.35,0.14,13.286025000000004,13.286025000000004,332.1506250000001,198.0474683616001,168.8960160000001,1.9665983417868182,Watch (1.5x-2x),0.20999999999999996
base,2029,5,0.35,0.14,17.936133750000007,17.936133750000007,448.40334375000015,225.77411393222414,192.5414582400001,2.3288664573791267,Concerning (2x-3x),0.20999999999999996
base,2030,6,0.35,0.14,24.21378056250001,24.21378056250001,605.3445140625003,257.38248988273557,219.49726239360018,2.7578681732121235,Concerning (2x-3x),0.20999999999999996
aggressive,2024,0,0.45,0.16,4.0,4.0,100.0,117.26,100.0,1.0,Balanced (<1.5x),0.29000000000000004
aggressive,2025,1,0.45,0.16,5.8,5.8,145.0,136.0216,115.99999999999999,1.2500000000000002,Balanced (<1.5x),0.29000000000000004
aggressive,2026,2,0.45,0.16,8.41,8.41,210.25,157.785056,134.56,1.5625,Watch (1.5x-2x),0.29000000000000004
aggressive,2027,3,0.45,0.16,12.1945,12.1945,304.8625,183.03066495999997,156.08959999999996,1.9531250000000004,Watch (1.5x-2x),0.29000000000000004
aggressive,2028,4,0.45,0.16,17.682025,17.682025,442.05062499999997,212.31557135359995,181.06393599999996,2.4414062500000004,Concerning (2x-3x),0.29000000000000004
aggressive,2029,5,0.45,0.16,25.638936249999997,25.0,625.0,246.2860627701759,210.03416575999992,2.9757063463387654,Concerning (2x-3x),0.29000000000000004
aggressive,2030,6,0.45,0.16,37.17645756249999,25.0,625.0,285.69183281340406,243.63963228159992,2.5652640916713496,Concerning (2x-3x),0.29000000000000004
